Id,task_1,task_2
data/test/nevus/ISIC_0015990.jpg,0.00206606,0.00501027
data/test/nevus/ISIC_0012216.jpg,0.0733169,0.307825
data/test/nevus/ISIC_0014952.jpg,0.308783,0.0286156
data/test/nevus/ISIC_0016040.jpg,0.00521058,0.0110928
data/test/nevus/ISIC_0014867.jpg,0.0347706,0.129845
data/test/seborrheic_keratosis/ISIC_0014278.jpg,0.00633174,0.140111
data/test/nevus/ISIC_0015988.jpg,0.163827,0.289535
data/test/seborrheic_keratosis/ISIC_0012330.jpg,0.0155849,0.806328
data/test/nevus/ISIC_0015995.jpg,0.432821,0.0583707
data/test/nevus/ISIC_0013897.jpg,0.163736,0.213558
data/test/nevus/ISIC_0015270.jpg,0.0709797,0.0935481
data/test/nevus/ISIC_0015954.jpg,0.0594343,0.00674194
data/test/nevus/ISIC_0014697.jpg,0.160321,0.397753
data/test/nevus/ISIC_0015160.jpg,0.0721812,0.596656
data/test/melanoma/ISIC_0014110.jpg,0.179928,0.0269003
data/test/nevus/ISIC_0016014.jpg,0.0019029,0.0185656
data/test/nevus/ISIC_0016043.jpg,0.171396,0.0679949
data/test/melanoma/ISIC_0014790.jpg,0.126329,0.786682
data/test/nevus/ISIC_0014773.jpg,0.0466592,0.0467861
data/test/nevus/ISIC_0015544.jpg,0.46065,0.0139247
data/test/seborrheic_keratosis/ISIC_0012314.jpg,0.219239,0.150673
data/test/nevus/ISIC_0016041.jpg,0.177017,0.332714
data/test/nevus/ISIC_0015412.jpg,0.169,0.0814345
data/test/nevus/ISIC_0014807.jpg,0.126729,0.0235918
data/test/nevus/ISIC_0016037.jpg,0.081761,0.639082
data/test/nevus/ISIC_0014768.jpg,0.0180833,0.0292373
data/test/nevus/ISIC_0015216.jpg,0.110247,0.337376
data/test/nevus/ISIC_0016057.jpg,0.135172,0.0239315
data/test/nevus/ISIC_0016002.jpg,0.00254007,0.0419404
data/test/seborrheic_keratosis/ISIC_0014645.jpg,0.0754499,0.893437
data/test/nevus/ISIC_0015417.jpg,0.217037,0.0104473
data/test/nevus/ISIC_0016061.jpg,0.0298677,0.0251663
data/test/nevus/ISIC_0015559.jpg,0.369251,0.0147191
data/test/melanoma/ISIC_0013414.jpg,0.00905609,0.00926476
data/test/nevus/ISIC_0012654.jpg,0.0461094,0.0393238
data/test/seborrheic_keratosis/ISIC_0014575.jpg,0.0079219,0.861365
data/test/melanoma/ISIC_0014928.jpg,0.0603035,0.0346898
data/test/nevus/ISIC_0015357.jpg,0.0360536,0.0393256
data/test/nevus/ISIC_0014835.jpg,0.184063,0.0571957
data/test/melanoma/ISIC_0012356.jpg,0.17235,0.593728
data/test/nevus/ISIC_0015403.jpg,0.36254,0.234069
data/test/nevus/ISIC_0015255.jpg,0.140781,0.158694
data/test/nevus/ISIC_0015283.jpg,0.0350228,0.00607189
data/test/nevus/ISIC_0014787.jpg,0.0178396,0.0117257
data/test/nevus/ISIC_0014992.jpg,0.00423572,0.00409198
data/test/melanoma/ISIC_0014181.jpg,0.371109,0.315804
data/test/nevus/ISIC_0015455.jpg,0.194107,0.505856
data/test/melanoma/ISIC_0013073.jpg,0.280105,0.233416
data/test/nevus/ISIC_0015983.jpg,0.196806,0.483706
data/test/nevus/ISIC_0015464.jpg,0.0319952,0.110105
data/test/melanoma/ISIC_0013459.jpg,0.0670535,0.304999
data/test/nevus/ISIC_0014962.jpg,0.0282374,0.107684
data/test/melanoma/ISIC_0013577.jpg,0.540859,0.333383
data/test/melanoma/ISIC_0015127.jpg,0.561935,0.0100927
data/test/nevus/ISIC_0015008.jpg,0.0403902,0.184788
data/test/nevus/ISIC_0015938.jpg,0.0781052,0.0687769
data/test/nevus/ISIC_0015060.jpg,0.189392,0.255205
data/test/nevus/ISIC_0014746.jpg,0.0219591,0.0405306
data/test/seborrheic_keratosis/ISIC_0012323.jpg,0.00786468,0.80606
data/test/nevus/ISIC_0016045.jpg,0.0521173,0.740268
data/test/nevus/ISIC_0016042.jpg,0.549954,0.0932743
data/test/melanoma/ISIC_0014336.jpg,0.177004,0.714616
data/test/nevus/ISIC_0015118.jpg,0.0636192,0.806572
data/test/nevus/ISIC_0015395.jpg,0.0158071,0.0160244
data/test/seborrheic_keratosis/ISIC_0013393.jpg,0.00810728,0.0477281
data/test/nevus/ISIC_0015999.jpg,0.00532882,0.0209875
data/test/nevus/ISIC_0015016.jpg,0.0765488,0.0488342
data/test/seborrheic_keratosis/ISIC_0014386.jpg,0.139016,0.565185
data/test/nevus/ISIC_0015958.jpg,0.0140807,0.963414
data/test/melanoma/ISIC_0013908.jpg,0.139665,0.405808
data/test/nevus/ISIC_0014994.jpg,0.0153037,0.0473094
data/test/nevus/ISIC_0014729.jpg,0.200348,0.260617
data/test/melanoma/ISIC_0013833.jpg,0.319605,0.546338
data/test/nevus/ISIC_0016036.jpg,0.0942862,0.439492
data/test/melanoma/ISIC_0014369.jpg,0.555146,0.240343
data/test/nevus/ISIC_0014948.jpg,0.420768,0.0309899
data/test/nevus/ISIC_0015419.jpg,0.0678954,0.126934
data/test/seborrheic_keratosis/ISIC_0014567.jpg,0.20475,0.498058
data/test/seborrheic_keratosis/ISIC_0012273.jpg,0.062478,0.922733
data/test/seborrheic_keratosis/ISIC_0014588.jpg,0.0270216,0.295194
data/test/nevus/ISIC_0015982.jpg,0.00566881,0.0144923
data/test/nevus/ISIC_0014853.jpg,0.115926,0.0158316
data/test/melanoma/ISIC_0013374.jpg,0.485371,0.109499
data/test/seborrheic_keratosis/ISIC_0012522.jpg,0.0998743,0.211457
data/test/nevus/ISIC_0014910.jpg,0.416222,0.0655701
