Id,task_1,task_2
data/test/nevus/ISIC_0015990.jpg,0.00850236,0.000365617
data/test/nevus/ISIC_0012216.jpg,0.0709685,0.497557
data/test/nevus/ISIC_0014952.jpg,0.0672728,0.0737093
data/test/nevus/ISIC_0016040.jpg,0.283756,0.129075
data/test/nevus/ISIC_0014867.jpg,0.0657208,0.0121055
data/test/seborrheic_keratosis/ISIC_0014278.jpg,0.0438746,0.0676631
data/test/nevus/ISIC_0015988.jpg,0.354384,0.0398124
data/test/seborrheic_keratosis/ISIC_0012330.jpg,0.00405948,0.861953
data/test/nevus/ISIC_0015995.jpg,0.386108,0.00916686
data/test/nevus/ISIC_0013897.jpg,0.320172,0.453543
data/test/nevus/ISIC_0015270.jpg,0.0616358,0.051074
data/test/nevus/ISIC_0015954.jpg,0.0367174,0.00124226
data/test/nevus/ISIC_0014697.jpg,0.0663101,0.054914
data/test/nevus/ISIC_0015160.jpg,0.00207242,0.700192
data/test/melanoma/ISIC_0014110.jpg,0.0872832,0.00965826
data/test/nevus/ISIC_0016014.jpg,0.00680576,0.00610854
data/test/nevus/ISIC_0016043.jpg,0.0191909,0.00970148
data/test/melanoma/ISIC_0014790.jpg,0.185216,0.795445
data/test/nevus/ISIC_0014773.jpg,0.0194375,0.00382139
data/test/nevus/ISIC_0015544.jpg,0.156462,0.00494327
data/test/seborrheic_keratosis/ISIC_0012314.jpg,0.0768804,0.136962
data/test/nevus/ISIC_0016041.jpg,0.14355,0.191181
data/test/nevus/ISIC_0015412.jpg,0.173679,0.0764678
data/test/nevus/ISIC_0014807.jpg,0.0457597,0.0285367
data/test/nevus/ISIC_0016037.jpg,0.0383391,0.140078
data/test/nevus/ISIC_0014768.jpg,0.00400955,0.000899727
data/test/nevus/ISIC_0015216.jpg,0.50425,0.212079
data/test/nevus/ISIC_0016057.jpg,0.248682,0.0462329
data/test/nevus/ISIC_0016002.jpg,0.00175825,0.00932314
data/test/seborrheic_keratosis/ISIC_0014645.jpg,0.389144,0.478964
data/test/nevus/ISIC_0015417.jpg,0.592487,0.029077
data/test/nevus/ISIC_0016061.jpg,0.0541122,0.00121031
data/test/nevus/ISIC_0015559.jpg,0.787682,0.021202
data/test/melanoma/ISIC_0013414.jpg,0.00380463,0.000858497
data/test/nevus/ISIC_0012654.jpg,0.015807,0.0148217
data/test/seborrheic_keratosis/ISIC_0014575.jpg,0.0203518,0.902709
data/test/melanoma/ISIC_0014928.jpg,0.0386106,0.00693609
data/test/nevus/ISIC_0015357.jpg,0.140944,0.0166304
data/test/nevus/ISIC_0014835.jpg,0.193454,0.0437496
data/test/melanoma/ISIC_0012356.jpg,0.18732,0.170687
data/test/nevus/ISIC_0015403.jpg,0.622849,0.075078
data/test/nevus/ISIC_0015255.jpg,0.707169,0.0329312
data/test/nevus/ISIC_0015283.jpg,0.0970067,0.004918
data/test/nevus/ISIC_0014787.jpg,0.145679,0.0171813
data/test/nevus/ISIC_0014992.jpg,0.054711,0.00139999
data/test/melanoma/ISIC_0014181.jpg,0.623924,0.0741713
data/test/nevus/ISIC_0015455.jpg,0.381117,0.336054
data/test/melanoma/ISIC_0013073.jpg,0.325053,0.0611947
data/test/nevus/ISIC_0015983.jpg,0.175892,0.150917
data/test/nevus/ISIC_0015464.jpg,0.469069,0.142933
data/test/melanoma/ISIC_0013459.jpg,0.201028,0.0338875
data/test/nevus/ISIC_0014962.jpg,0.0284615,0.0590907
data/test/melanoma/ISIC_0013577.jpg,0.0413094,0.42936
data/test/melanoma/ISIC_0015127.jpg,0.564248,0.0247524
data/test/nevus/ISIC_0015008.jpg,0.653609,0.267253
data/test/nevus/ISIC_0015938.jpg,0.0570011,0.0132667
data/test/nevus/ISIC_0015060.jpg,0.0365046,0.00620371
data/test/nevus/ISIC_0014746.jpg,0.0386485,0.0204753
data/test/seborrheic_keratosis/ISIC_0012323.jpg,0.130709,0.520439
data/test/nevus/ISIC_0016045.jpg,0.188854,0.101799
data/test/nevus/ISIC_0016042.jpg,0.344252,0.268468
data/test/melanoma/ISIC_0014336.jpg,0.422204,0.458516
data/test/nevus/ISIC_0015118.jpg,0.387213,0.301363
data/test/nevus/ISIC_0015395.jpg,0.0143923,0.0974046
data/test/seborrheic_keratosis/ISIC_0013393.jpg,0.0369749,0.612312
data/test/nevus/ISIC_0015999.jpg,0.0258946,0.0201469
data/test/nevus/ISIC_0015016.jpg,0.139492,0.0874231
data/test/seborrheic_keratosis/ISIC_0014386.jpg,0.134653,0.385958
data/test/nevus/ISIC_0015958.jpg,0.0954904,0.575604
data/test/melanoma/ISIC_0013908.jpg,0.195879,0.0810175
data/test/nevus/ISIC_0014994.jpg,0.0078012,0.0184001
data/test/nevus/ISIC_0014729.jpg,0.147389,0.0997566
data/test/melanoma/ISIC_0013833.jpg,0.878609,0.0627672
data/test/nevus/ISIC_0016036.jpg,0.237397,0.232545
data/test/melanoma/ISIC_0014369.jpg,0.236649,0.0137324
data/test/nevus/ISIC_0014948.jpg,0.401284,0.0394949
data/test/nevus/ISIC_0015419.jpg,0.10647,0.388096
data/test/seborrheic_keratosis/ISIC_0014567.jpg,0.0355971,0.846773
data/test/seborrheic_keratosis/ISIC_0012273.jpg,0.175925,0.366423
data/test/seborrheic_keratosis/ISIC_0014588.jpg,0.159261,0.175055
data/test/nevus/ISIC_0015982.jpg,0.0263204,0.000841664
data/test/nevus/ISIC_0014853.jpg,0.0308553,0.00288522
data/test/melanoma/ISIC_0013374.jpg,0.466965,0.0140814
data/test/seborrheic_keratosis/ISIC_0012522.jpg,0.0122394,0.0644321
data/test/nevus/ISIC_0014910.jpg,0.218505,0.0226465
data/test/melanoma/ISIC_0014148.jpg,0.422558,0.275193
data/test/melanoma/ISIC_0013767.jpg,0.452077,0.0556577
data/test/melanoma/ISIC_0014666.jpg,0.408004,0.453092
data/test/melanoma/ISIC_0014434.jpg,0.0449823,0.936558
data/test/nevus/ISIC_0013164.jpg,0.0125224,0.00913949
data/test/nevus/ISIC_0015980.jpg,0.0339653,0.0150772
