Id,task_1,task_2
data/test/nevus/ISIC_0015990.jpg,0.0979327,0.0219314
data/test/nevus/ISIC_0012216.jpg,0.00747563,0.203896
data/test/nevus/ISIC_0014952.jpg,0.345817,0.0116829
data/test/nevus/ISIC_0016040.jpg,0.161138,0.0270012
data/test/nevus/ISIC_0014867.jpg,0.0439932,0.0269974
data/test/seborrheic_keratosis/ISIC_0014278.jpg,0.0509913,0.285127
data/test/nevus/ISIC_0015988.jpg,0.214318,0.302513
data/test/seborrheic_keratosis/ISIC_0012330.jpg,0.0161555,0.928198
data/test/nevus/ISIC_0015995.jpg,0.385293,0.204182
data/test/nevus/ISIC_0013897.jpg,0.10713,0.180156
data/test/nevus/ISIC_0015270.jpg,0.103106,0.0159782
data/test/nevus/ISIC_0015954.jpg,0.0500528,0.0188852
data/test/nevus/ISIC_0014697.jpg,0.0475107,0.0273557
data/test/nevus/ISIC_0015160.jpg,0.0227726,0.276556
data/test/melanoma/ISIC_0014110.jpg,0.195682,0.192811
data/test/nevus/ISIC_0016014.jpg,0.0201593,0.0406081
data/test/nevus/ISIC_0016043.jpg,0.664587,0.00242233
data/test/melanoma/ISIC_0014790.jpg,0.168298,0.446163
data/test/nevus/ISIC_0014773.jpg,0.0251594,0.00554173
data/test/nevus/ISIC_0015544.jpg,0.566242,0.0255787
data/test/seborrheic_keratosis/ISIC_0012314.jpg,0.0661694,0.3981
data/test/nevus/ISIC_0016041.jpg,0.134106,0.466255
data/test/nevus/ISIC_0015412.jpg,0.179811,0.103463
data/test/nevus/ISIC_0014807.jpg,0.122704,0.0733091
data/test/nevus/ISIC_0016037.jpg,0.286294,0.364081
data/test/nevus/ISIC_0014768.jpg,0.0024713,0.000169118
data/test/nevus/ISIC_0015216.jpg,0.0934178,0.0241529
data/test/nevus/ISIC_0016057.jpg,0.459542,0.0502076
data/test/nevus/ISIC_0016002.jpg,0.0122541,0.032646
data/test/seborrheic_keratosis/ISIC_0014645.jpg,0.0212548,0.975321
data/test/nevus/ISIC_0015417.jpg,0.304754,0.00339182
data/test/nevus/ISIC_0016061.jpg,0.0527722,0.00216103
data/test/nevus/ISIC_0015559.jpg,0.453809,0.0595084
data/test/melanoma/ISIC_0013414.jpg,0.0562996,0.406249
data/test/nevus/ISIC_0012654.jpg,0.0182445,0.0242402
data/test/seborrheic_keratosis/ISIC_0014575.jpg,0.0447361,0.579484
data/test/melanoma/ISIC_0014928.jpg,0.0300533,0.0171077
data/test/nevus/ISIC_0015357.jpg,0.145733,0.0377158
data/test/nevus/ISIC_0014835.jpg,0.714774,0.0190544
data/test/melanoma/ISIC_0012356.jpg,0.322087,0.532733
data/test/nevus/ISIC_0015403.jpg,0.366751,0.443421
data/test/nevus/ISIC_0015255.jpg,0.510932,0.045834
